press-cuttings,press-cutting
balks,balk
towel-rack,towel-rack
balls,ball
balms,balm
foretop,foretop
environmentalists,environmentalist
bells,bell
meals,meal
hover,hover
epics,epic
means,means,mean
bilks,bilk
boles,bole
bills,bill
cokes,coke
convolvuluses,convolvulus
hafts,haft
bulbs,bulb
kicks,kick
edits,edit
indoctrinates,indoctrinate
belts,belt
lobes,lobe
meats,meat
odour,odour
bolls,boll
huffs,huff
motioning,motion
ripcord,ripcord
grappled,grapple
moans,moan
overshadow,overshadow
ruler,ruler
emirs,emir
supplementing,supplement
bulks,bulk
watchword,watchword
bulls,bull
emits,emit
chenille,chenille
enhancements,enhancement
bolts,bolt
evils,evil
items,item
moats,moat
beaker,beaker
expropriate,expropriate
instancing,instance
restocked,restock
raindrop,raindrop
rotational,rotational
hydroplanes,hydroplane
reliving,relive
superintendence,superintendence
bearer,bearer
bottomed,bottom
death-roll,death-roll
exits,exit
beater,beater
frustrates,frustrate
fulmars,fulmar
masticate,masticate
beaver,beaver
mellowest,mellow
meteorite,meteorite
overindulged,overindulge
quasars,quasar
seasoned,season
preparatory to,preparatory to
secularists,secularist
miaowing,miaow
spark-plug,spark-plug
thingumabob,thingumabob
broads,broad
boater,boater
compose,compose
compass,compass
enraptures,enrapture
plaids,plaid
rapport,rapport
blazer,blazer
fluorides,fluoride
paddle-steamers,paddle-steamer
select,select
blonds,blond
braver,brave
bloods,blood
house-warming,house-warming
mashed,mash
ranged,range
hibiscuses,hibiscus
talking-tos,talking-to
masked,mask
ranked,rank
meshed,mesh
talked,talk
remonstrance,remonstrance
wailed,wail
broods,brood
baggage,baggage
ringed,ring
overwhelmed,overwhelm
massed,mass
whiled,while
misled,mislead
pepped,pep
ranted,rant
tilled,till
cascading,cascade
waited,wait
messed,mess
ogress,ogress
pipped,pip
purport,purport
rented,rent
waived,waive
tolled,toll
whined,whine
missed,miss
rinsed,rinse
misted,mist
tilted,tilt
embarrassing,embarrassing,embarrass
perambulate,perambulate
popped,pop
underwritten,underwrite
indices,index
linotypes,linotype
arbour,arbour
association,association
leastways,leastways
mutinous,mutinous
fizzed,fizz
plaits,plait
rebuttals,rebuttal
summed,sum
unfashionably,unfashionably
unless,unless
figured,figured,figure
pongee,pongee
lazarettes,lazarette
unbutton,unbutton
behoove,behoove
imploring,implore
allured,allure
mussed,muss
nursed,nurse
orbits,orbit
plants,plant
quoted,quote
induces,induce
surcharge,surcharge
gatecrashers,gatecrasher
waverer,waverer
invest,invest
nitrogen,nitrogen
boosts,boost
hoists,hoist
billiard-player,billiard-player
disinter,disinter
celibate,celibate
resenting,resent
disposing,dispose
sheepruns,sheeprun
fighter,fighter
materialist,materialist
liaises,liaise
atlases,atlas
improvise,improvise
misbehaves,misbehave
unjust,unjust
drifter,drifter
millionairesss,millionairess
patterning,pattern
pullout,pullout
sprinting,sprint
tarradiddles,tarradiddle
bandaging,bandage
prepaid,prepay
registrar,registrar
undivided,undivided
polypus,polypus
time-exposure,time-exposure
lacerate,lacerate
repurchases,repurchase
generic,generic
unique,unique
rope-dancer,rope-dancer
chapterhouses,chapterhouse
backbit,backbite
dialectician,dialectician
multinationals,multinationals,multinational
oriented,orient
vexation,vexation
mortuaries,mortuary
pfennig,pfennig
twopenny,twopenny
empiric,empiric
endearments,endearment
spreaders,spreader
curacy,curacy
overemotional,overemotional
entertaining,entertaining,entertain
thanksgivings,thanksgiving
understudying,understudy
westcoast,westcoast
landscaped,landscape
temporize,temporize
paternal,paternal
tape-measures,tape-measure
beefsteak,beefsteak
zenith,zenith
homograph,homograph
partially,partially
debaters,debater
approving,approve
cybernetic,cybernetic
potboys,potboy
recruitment,recruitment
autograph,autograph
palisades,palisade
winery,winery
psychiatric,psychiatric
rosary,rosary
cavalries,cavalry
supperless,supperless
recorders,recorder
imperturbability,imperturbability
inoculates,inoculate
thighbones,thighbone
speculates,speculate
unvarnished,unvarnished
intensely,intensely
turnkeys,turnkey
depressives,depressive
slippages,slippage
friendships,friendship
wintry,wintry
baldrics,baldric
pilot-burner,pilot-burner
transcendentalist,transcendentalist
brigand,brigand
buttress,buttress
formulates,formulate
huntress,huntress
increases,increase
witheringly,witheringly
curtsy,curtsy
biotechnologies,biotechnology
mortals,mortal
impoverished,impoverish
contortionist,contortionist
democratically,democratically
saunterer,saunterer
huntsman,huntsman
compel,compel
discontinuous,discontinuous
bank-bills,bank-bill
oilcans,oilcan
squandered,squander
upbraiding,upbraid
effronteries,effrontery
threepenny,threepenny
distastes,distaste
locally,locally
disestablished,disestablish
frittering,fritter
oilmans,oilman
hidden,hide
fastidiousness,fastidiousness
manifestation,manifestation
fervidly,fervidly
sclerosis,sclerosis
stutterer,stutterer
remounted,remount
reflection,reflection
rumour-mongers,rumour-monger
stockbrokerage,stockbrokerage
proclaim,proclaim
recitalist,recitalist
sepulchral,sepulchral
distraction,distraction
constructors,constructor
divagated,divagate
subtitles,subtitle
colic,colic
retooling,retool
languishing,languish
plywood,plywood
strong-arm,strong-arm
ameobae,amoeba
tadpoles,tadpole
decapitating,decapitate
workforce,workforce
southerner,southerner
accomplishing,accomplish
uniqueness,uniqueness
laser,laser
taker,taker
disinfests,disinfest
laces,lace
multilayer,multilayer
hewer,hewer
antiquated,antiquated
interbreed,interbreed
cicadas,cicada
pardoning,pardon
calks,calk
lacks,lack
calls,call
chessboard,chessboard
calms,calm
dikes,dike
annas,anna
fails,fail
colas,cola
flyer,flyer
bombs,bomb
cells,cell
customer,customer
flies,fly
colds,cold
deodars,deodar
fairs,fair
foyer,foyer
agendas,agenda
fryer,fryer
flinging,fling
grapples,grapple
fries,fry
hereto,hereto
jeeps,jeep
jeers,jeer
licks,lick
lochs,loch
consistencies,consistency
dukes,duke
foils,foil
locks,lock
flips,flip
freelancing,freelance
fringing,fringe
incriminate,incriminate
dykes,dyke
loser,loser
coincides,coincide
marketplace,marketplace
arithmetician,arithmetician
flits,flit
arrears,arrears
asphalting,asphalt
culls,cull
fusspot,fusspot
colts,colt
insuperably,insuperably
kudos,kudos
locus,locus
bumps,bump
neaps,neap
nears,near
pastern,pastern
proofing,proof
reassures,reassure
resurfaced,resurface
retrial,retrial
aunts,aunt
cults,cult
educational,educational
eradicating,eradicate
postern,postern
reckoned,reckon
cordoned,cordon
rumor,rumor
circulars,circular
jihads,jihad
comrade,comrade
removing,remove
archer,archer
rosinned,rosin
adages,adage
chaser,chaser
bipeds,biped
canvass,canvass
flabbiest,flabby
showboat,showboat
solar,solar
tortillas,tortilla
watercourse,watercourse
syndicate,syndicate
fireclay,fireclay
tonics,tonic
abases,abase
lauded,laud
abates,abate
crater,crater
precautions,precaution
sanded,sand
chords,chord
stoics,stoic
procedure,procedure
tunics,tunic
agates,agate
furbelow,furbelow
agaves,agave
clouds,cloud
self-respect,self-respect
singed,singe
quetzal,quetzal
tamped,tamp
harboring,harbor
constructively,constructively
obsess,obsess
smothered,smother
abacus,abacus
admired,admire
marshalled,marshal
matted,matted,mat
amazes,amaze
crowds,crowd
labored,labored,labor
noshed,nosh
nested,nest
outport,outport
roofed,roof
rooked,rook
sensed,sense
sinned,sin
ambidextrous,ambidextrous
favorites,favorite
copyhold,copyhold
meander,meander
luggage-carriers,luggage-carrier
